Pos x [mm];Pos y [mm];Pos z [mm];Volume [mm³];Equivalent diameter [mm];Surface [mm²];Sphericity;Compactness;PCA 1 x [mm];PCA 1 y [mm];PCA 1 z [mm];PCA 2 x [mm];PCA 2 y [mm];PCA 2 z [mm];PCA 3 x [mm];PCA 3 y [mm];PCA 3 z [mm];PCA deviation 1 [mm];PCA deviation 2 [mm];PCA deviation 3 [mm];PCA min deviation ratio [%];PCA max deviation ratio [%];Projected area x [mm²];Projected area y [mm²];Projected area z [mm²];Projected size x [mm];Projected size y [mm];Projected size z [mm]
1.1939106;5.8297520;1.4693365;64.8623886;4.9849954;134.4713745;0.58;0.59;0.9499061;0.8095897;0.1569476;-0.2364331;0.0669838;1.0854572;-0.6360343;0.7824891;-0.1868279;1.2579308;1.1129262;1.0255406;34.4622612;42.2715008;21.1136475;21.4061279;21.9410954;5.4498253;5.2998295;5.0998363
8.3146591;3.4020405;10.7489691;64.7793961;4.9828687;141.0259552;0.55;0.45;-0.4569078;-0.7408916;0.9971680;0.9229706;-0.6575509;-0.0656474;0.4567486;0.5773909;0.6382837;1.3236424;1.1351465;0.9743745;30.0279021;40.7915086;22.3310680;22.7660408;21.7736073;5.7498150;5.4498253;5.7998142
6.2301903;5.4845200;-8.4558496;64.6967850;4.9807496;137.9661560;0.56;0.44;-0.6200699;-0.9998470;0.7777911;0.8599626;-0.6305497;-0.1249903;0.3853097;0.3702590;0.7831425;1.4103686;1.0736625;0.9480862;28.9212644;43.0231392;22.1410809;20.8636627;22.5935535;5.1998329;5.7498150;5.5998201
5.2576790;0.3390770;3.0954638;64.6700363;4.9800630;135.3063354;0.58;0.54;-0.1150968;0.5702272;1.1501216;-0.5555420;-0.9369757;0.4089549;-0.8264852;0.3731772;-0.2677296;1.2888701;1.1635268;0.9455253;30.9982151;42.2544658;24.0134602;21.2636375;19.4687538;4.7498474;5.5498219;5.7498150
11.9806004;8.3844948;-1.6686153;64.2909470;4.9703131;136.8562317;0.57;0.45;-0.4199835;-1.1178982;0.6067657;-0.7582601;0.5849750;0.5529083;-0.6356964;-0.1488725;-0.7142894;1.3394952;1.1058308;0.9677201;29.8276126;41.2866712;22.8385353;18.0563431;22.2135773;4.9998417;5.9498100;5.1998329
-2.6306858;5.3127041;-0.3921385;63.8829842;4.9597774;134.3114014;0.58;0.46;-0.5679044;-1.0229709;0.7121462;-0.0511492;-0.5987663;-0.9008940;-0.8657967;0.3520018;-0.1847964;1.3697215;1.0829346;0.9527113;29.5957893;42.5501287;23.2985058;19.8612270;20.6536789;4.8498459;5.7498169;5.4498253
-0.3598557;13.7794590;3.1986799;63.3376617;4.9456244;161.2246552;0.48;0.22;-1.1632351;-0.6496126;1.1412100;-0.3194829;-0.7199091;-0.7354438;-0.5611726;0.5269534;-0.2720446;1.7542726;1.0775973;0.8164575;19.9820846;42.9342926;24.1659508;26.2033195;22.0785866;5.8498135;5.8498116;6.1998024
13.8741131;7.4698353;1.3707018;63.1390572;4.9404497;137.1362152;0.56;0.42;-1.0054020;-0.1936197;1.0355629;0.1229175;1.0287915;0.3116911;-0.6330249;0.2477962;-0.5682573;1.4562665;1.0819761;0.8860247;26.8317968;44.1006273;22.3010712;21.2436390;21.5886173;5.5498257;4.9498425;5.7498150
-5.5464230;4.3357792;-7.3650842;62.8893318;4.9339280;134.0914001;0.57;0.54;-0.4424363;0.5467658;1.0427318;0.8516467;0.8155434;-0.0662796;0.5603931;-0.5427477;0.5223723;1.2577727;1.1810191;0.9388761;30.9241086;41.4277226;21.2086411;22.0435867;21.1511459;5.4498253;5.3498287;5.3498282
8.8306007;12.0997562;2.7795839;62.8675804;4.9333587;138.5461121;0.55;0.36;-0.3972525;-1.0717207;0.8975675;0.8644705;-0.5079197;-0.2238662;0.4389028;0.4333361;0.7116686;1.4532797;1.0273305;0.9417473;27.0839423;41.7952299;22.9160309;20.0437145;22.4310646;4.9498405;5.9498100;5.2998314
