Pos x [mm];Pos y [mm];Pos z [mm];Volume [mm³];Equivalent diameter [mm];Surface [mm²];Sphericity;Compactness;PCA 1 x [mm];PCA 1 y [mm];PCA 1 z [mm];PCA 2 x [mm];PCA 2 y [mm];PCA 2 z [mm];PCA 3 x [mm];PCA 3 y [mm];PCA 3 z [mm];PCA deviation 1 [mm];PCA deviation 2 [mm];PCA deviation 3 [mm];PCA min deviation ratio [%];PCA max deviation ratio [%];Projected area x [mm²];Projected area y [mm²];Projected area z [mm²];Projected size x [mm];Projected size y [mm];Projected size z [mm]
-3.6897459;-1.0929718;-10.4619160;55.9071198;4.7441254;122.6721344;0.58;0.49;0.6300797;0.2217044;1.0844598;0.1734148;0.9740363;-0.2998851;-0.8122737;0.2727472;0.4161776;1.2736586;1.0338039;0.9525667;31.7374885;42.4355865;21.0786495;20.3486938;17.5063782;4.9498425;4.7498474;5.7498150
0.3264313;14.9763889;9.2102575;55.8591232;4.7427673;127.5818176;0.55;0.37;0.7043955;0.9491996;0.6028300;-0.3493015;-0.3978888;1.0346571;-0.6647753;0.5110454;-0.0279008;1.3268598;1.1622574;0.8389708;25.3886133;40.1529223;22.9185314;19.3587570;17.7538624;4.8998432;4.9998398;6.2497997
-3.1431503;8.1200237;-10.9395370;55.7843819;4.7406511;120.5222702;0.59;0.48;0.8012375;-0.0186525;1.0277742;-0.5459452;0.7217503;0.4387094;0.5366135;0.6529826;-0.4064853;1.3033223;1.0057065;0.9378542;31.0099274;43.0940479;19.8187294;20.0412140;17.6638680;5.0998373;4.5498543;5.7498150
0.1792698;1.4497795;-9.2551346;55.5285301;4.7333922;117.8724365;0.60;0.55;0.0285327;-0.0197197;1.1781002;-1.0613610;-0.3167198;0.0204039;0.2706612;-0.9084156;-0.0217608;1.1786107;1.1077974;0.9481297;32.9102606;40.9104198;18.8137932;20.5336819;17.1788979;5.1498337;4.3498592;5.4998236
11.6935139;11.2639256;-5.7234049;55.5262794;4.7333288;121.4772034;0.58;0.43;0.6625522;0.1969870;1.1243783;0.1380272;0.9853724;-0.2539677;-0.7731546;0.2159711;0.4177524;1.3198508;1.0268934;0.9049467;28.7782550;41.9726372;20.9761562;19.4262524;17.4213829;4.8498421;4.6498547;5.8998108
-2.9837561;-9.3679504;-10.9341412;54.9715843;4.7175140;118.4924011;0.59;0.56;0.3033588;0.3706857;1.1088934;-0.4134474;-0.8639936;0.4019259;-0.8635579;0.4527343;0.0849007;1.2079234;1.0387340;0.9787282;34.2615098;42.2847569;20.2312031;18.4388161;16.8789177;4.5498533;4.7998466;5.3498287
13.4814568;5.2869091;11.8908396;54.8607216;4.7143407;117.8274384;0.59;0.52;0.6058233;0.5907208;0.8126159;-0.9007530;0.4400475;0.3516445;-0.1202692;-0.7583747;0.6409543;1.1731656;1.0623802;1.0002096;34.0962112;39.9921179;18.3713226;19.8162270;17.7313633;5.1998329;4.7498474;4.8998413
-7.5339422;0.2061501;-10.0390549;54.6603661;4.7085948;118.7123871;0.59;0.52;0.2954768;0.0940442;1.1984458;-0.9419316;0.3875746;0.2018196;0.3266260;0.8713456;-0.1489057;1.2379107;1.0383546;0.9423909;32.1293414;42.2046304;19.4612522;20.8686600;16.0164738;4.8998427;4.4998550;5.7998133
6.3648167;10.8334751;-0.4768744;54.3928909;4.7009020;120.6522598;0.58;0.44;0.4912623;-0.4403318;1.0706561;0.6532836;-0.5545576;-0.5278287;-0.6283425;-0.7291804;-0.0115820;1.2575910;1.0064377;0.9626279;31.0459197;40.5588388;20.2337036;19.4787502;17.5713730;4.9998398;4.7498474;5.7998123
-0.1436558;-2.9239063;-8.3302116;54.2542801;4.6969051;119.7473145;0.58;0.57;0.9393104;-0.4282155;0.5927679;-0.5865142;-0.7204223;0.4089676;0.2084916;-0.6056644;-0.7679113;1.1903975;1.0150181;0.9999930;35.3181899;42.0429826;18.4263191;19.7312336;19.0187817;5.3998260;4.8498440;5.0998363
-1.3931599;-4.4634705;11.4730177;53.9923058;4.6893330;130.5766296;0.53;0.22;-0.9706880;0.2074588;1.2400813;-0.1861247;0.8304154;-0.2846152;-0.6723471;-0.3131212;-0.4739040;1.5884193;0.8973505;0.8801594;22.7168828;40.9970462;20.6686745;22.5385532;18.0338440;5.3498287;4.5498543;6.7497826
8.2766781;8.5898266;8.7109632;53.9754295;4.6888447;119.0673599;0.58;0.38;-0.6471068;-0.5950675;0.9123811;-0.4690818;-0.5881939;-0.7163248;-0.6895289;0.6384017;-0.0726744;1.2670010;1.0388123;0.9424905;29.1426539;39.1768128;19.7387352;19.0862751;17.6988659;4.7498474;4.9998398;5.4498253
1.6864185;-1.6735153;-11.0710154;53.9451828;4.6879683;120.4322739;0.57;0.43;0.7492015;0.5581722;0.8373208;0.6194352;-0.9329276;0.0676593;-0.5086087;-0.2906449;0.6488317;1.2545778;1.1218876;0.8741509;28.0791491;40.2990788;19.8112297;18.2938251;19.7212353;5.3498287;5.0498371;4.8498445
-5.5356960;10.3607159;7.2521372;53.9408073;4.6878419;127.3668289;0.54;0.38;0.6458612;0.5433980;-1.0429879;-0.4078961;1.0948666;0.3178407;-0.6100033;-0.1021507;-0.4309599;1.3417310;1.2108406;0.7538337;23.3926579;41.6360468;22.0635853;17.2363930;20.3161983;4.9498415;5.6498222;5.3498287
6.3067112;-1.0614300;-9.6418858;53.7357025;4.6818924;123.2970886;0.56;0.43;1.0156786;-0.2338704;0.9544623;0.4754417;-0.6307577;-0.6604886;-0.4346531;-0.6461654;0.3042015;1.4132576;1.0296335;0.8360572;26.8949240;45.4627395;19.2162685;21.3486290;18.4163189;5.4998245;4.4998550;5.6498179
